Dataset,method,Experiment,Accuracy
18_maternal,6_dynamic + datawig,22,0.6724 ± 0.0526
18_maternal,6_dynamic + datawig,23,0.6732 ± 0.0541
18_maternal,6_dynamic + datawig,24,0.6716 ± 0.0539
18_maternal,6_dynamic + datawig,25,0.6732 ± 0.0535
18_maternal,6_dynamic + datawig,26,0.6728 ± 0.0539
18_maternal,6_dynamic + datawig,27,0.6731 ± 0.0532
18_maternal,6_dynamic + datawig,28,0.6727 ± 0.0531
18_maternal,6_dynamic + datawig,29,0.6732 ± 0.0533
18_maternal,6_dynamic + datawig,30,0.6729 ± 0.0526
18_maternal,7_dynamic + datawig + zero,1,0.6929 ± 0.0430
18_maternal,7_dynamic + datawig + zero,2,0.6954 ± 0.0440
18_maternal,7_dynamic + datawig + zero,3,0.6984 ± 0.0489
18_maternal,7_dynamic + datawig + zero,4,0.6901 ± 0.0467
18_maternal,7_dynamic + datawig + zero,5,0.6900 ± 0.0471
18_maternal,7_dynamic + datawig + zero,6,0.6940 ± 0.0458
18_maternal,7_dynamic + datawig + zero,7,0.6915 ± 0.0440
18_maternal,7_dynamic + datawig + zero,8,0.6933 ± 0.0446
18_maternal,7_dynamic + datawig + zero,9,0.6960 ± 0.0469
18_maternal,7_dynamic + datawig + zero,10,0.6969 ± 0.0457
18_maternal,7_dynamic + datawig + zero,11,0.6983 ± 0.0446
18_maternal,7_dynamic + datawig + zero,12,0.6970 ± 0.0461
18_maternal,7_dynamic + datawig + zero,13,0.6952 ± 0.0469
18_maternal,7_dynamic + datawig + zero,14,0.6946 ± 0.0470
18_maternal,7_dynamic + datawig + zero,15,0.6957 ± 0.0471
18_maternal,7_dynamic + datawig + zero,16,0.6944 ± 0.0474
18_maternal,7_dynamic + datawig + zero,17,0.6921 ± 0.0470
18_maternal,7_dynamic + datawig + zero,18,0.6877 ± 0.0494
18_maternal,7_dynamic + datawig + zero,19,0.6878 ± 0.0491
18_maternal,7_dynamic + datawig + zero,20,0.6887 ± 0.0504
18_maternal,7_dynamic + datawig + zero,21,0.6893 ± 0.0510
18_maternal,7_dynamic + datawig + zero,22,0.6892 ± 0.0509
18_maternal,7_dynamic + datawig + zero,23,0.6901 ± 0.0523
18_maternal,7_dynamic + datawig + zero,24,0.6879 ± 0.0526
18_maternal,7_dynamic + datawig + zero,25,0.6887 ± 0.0519
18_maternal,7_dynamic + datawig + zero,26,0.6890 ± 0.0526
18_maternal,7_dynamic + datawig + zero,27,0.6891 ± 0.0520
18_maternal,7_dynamic + datawig + zero,28,0.6888 ± 0.0518
18_maternal,7_dynamic + datawig + zero,29,0.6892 ± 0.0518
18_maternal,7_dynamic + datawig + zero,30,0.6888 ± 0.0511
18_maternal,8_dynamic + datawig + knn,1,0.6979 ± 0.0441
18_maternal,8_dynamic + datawig + knn,2,0.7020 ± 0.0498
18_maternal,8_dynamic + datawig + knn,3,0.7006 ± 0.0529
18_maternal,8_dynamic + datawig + knn,4,0.6966 ± 0.0503
18_maternal,8_dynamic + datawig + knn,5,0.6966 ± 0.0515
18_maternal,8_dynamic + datawig + knn,6,0.6998 ± 0.0495
18_maternal,8_dynamic + datawig + knn,7,0.6993 ± 0.0483
18_maternal,8_dynamic + datawig + knn,8,0.7005 ± 0.0488
18_maternal,8_dynamic + datawig + knn,9,0.7022 ± 0.0496
18_maternal,8_dynamic + datawig + knn,10,0.7059 ± 0.0508
18_maternal,8_dynamic + datawig + knn,11,0.7044 ± 0.0491
18_maternal,8_dynamic + datawig + knn,12,0.7020 ± 0.0501
18_maternal,8_dynamic + datawig + knn,13,0.7006 ± 0.0515
18_maternal,8_dynamic + datawig + knn,14,0.6997 ± 0.0509
18_maternal,8_dynamic + datawig + knn,15,0.7008 ± 0.0509
18_maternal,8_dynamic + datawig + knn,16,0.7001 ± 0.0511
18_maternal,8_dynamic + datawig + knn,17,0.6986 ± 0.0507
18_maternal,8_dynamic + datawig + knn,18,0.6943 ± 0.0532
18_maternal,8_dynamic + datawig + knn,19,0.6945 ± 0.0530
18_maternal,8_dynamic + datawig + knn,20,0.6952 ± 0.0543
18_maternal,8_dynamic + datawig + knn,21,0.6972 ± 0.0563
18_maternal,8_dynamic + datawig + knn,22,0.6976 ± 0.0571
18_maternal,8_dynamic + datawig + knn,23,0.6981 ± 0.0576
18_maternal,8_dynamic + datawig + knn,24,0.6963 ± 0.0578
18_maternal,8_dynamic + datawig + knn,25,0.6973 ± 0.0573
18_maternal,8_dynamic + datawig + knn,26,0.6975 ± 0.0580
18_maternal,8_dynamic + datawig + knn,27,0.6971 ± 0.0571
