Dataset,method,Experiment,Accuracy
14_national,5_knn+datawig,29,0.9299 ± 0.0128
14_national,5_knn+datawig,30,0.9298 ± 0.0128
14_national,6_dynamic + datawig,1,0.9090 ± 0.0515
14_national,6_dynamic + datawig,2,0.9156 ± 0.0450
14_national,6_dynamic + datawig,3,0.9185 ± 0.0438
14_national,6_dynamic + datawig,4,0.9186 ± 0.0427
14_national,6_dynamic + datawig,5,0.9186 ± 0.0439
14_national,6_dynamic + datawig,6,0.9183 ± 0.0455
14_national,6_dynamic + datawig,7,0.9165 ± 0.0487
14_national,6_dynamic + datawig,8,0.9169 ± 0.0491
14_national,6_dynamic + datawig,9,0.9144 ± 0.0494
14_national,6_dynamic + datawig,10,0.9129 ± 0.0508
14_national,6_dynamic + datawig,11,0.9136 ± 0.0500
14_national,6_dynamic + datawig,12,0.9130 ± 0.0494
14_national,6_dynamic + datawig,13,0.9139 ± 0.0492
14_national,6_dynamic + datawig,14,0.9135 ± 0.0492
14_national,6_dynamic + datawig,15,0.9135 ± 0.0492
14_national,6_dynamic + datawig,16,0.9118 ± 0.0497
14_national,6_dynamic + datawig,17,0.9111 ± 0.0497
14_national,6_dynamic + datawig,18,0.9113 ± 0.0501
14_national,6_dynamic + datawig,19,0.9109 ± 0.0512
14_national,6_dynamic + datawig,20,0.9106 ± 0.0506
14_national,6_dynamic + datawig,21,0.9114 ± 0.0505
14_national,6_dynamic + datawig,22,0.9113 ± 0.0504
14_national,6_dynamic + datawig,23,0.9108 ± 0.0507
14_national,6_dynamic + datawig,24,0.9113 ± 0.0504
14_national,6_dynamic + datawig,25,0.9108 ± 0.0505
14_national,6_dynamic + datawig,26,0.9109 ± 0.0504
14_national,6_dynamic + datawig,27,0.9105 ± 0.0508
14_national,6_dynamic + datawig,28,0.9100 ± 0.0512
14_national,6_dynamic + datawig,29,0.9099 ± 0.0513
14_national,6_dynamic + datawig,30,0.9098 ± 0.0513
14_national,7_dynamic + datawig + zero,1,0.9203 ± 0.0448
14_national,7_dynamic + datawig + zero,2,0.9313 ± 0.0438
14_national,7_dynamic + datawig + zero,3,0.9347 ± 0.0436
14_national,7_dynamic + datawig + zero,4,0.9340 ± 0.0422
14_national,7_dynamic + datawig + zero,5,0.9344 ± 0.0430
14_national,7_dynamic + datawig + zero,6,0.9342 ± 0.0441
14_national,7_dynamic + datawig + zero,7,0.9321 ± 0.0460
14_national,7_dynamic + datawig + zero,8,0.9326 ± 0.0463
14_national,7_dynamic + datawig + zero,9,0.9307 ± 0.0469
14_national,7_dynamic + datawig + zero,10,0.9301 ± 0.0482
14_national,7_dynamic + datawig + zero,11,0.9310 ± 0.0481
14_national,7_dynamic + datawig + zero,12,0.9306 ± 0.0478
14_national,7_dynamic + datawig + zero,13,0.9314 ± 0.0475
14_national,7_dynamic + datawig + zero,14,0.9309 ± 0.0475
14_national,7_dynamic + datawig + zero,15,0.9305 ± 0.0472
14_national,7_dynamic + datawig + zero,16,0.9290 ± 0.0478
14_national,7_dynamic + datawig + zero,17,0.9289 ± 0.0481
14_national,7_dynamic + datawig + zero,18,0.9292 ± 0.0485
14_national,7_dynamic + datawig + zero,19,0.9289 ± 0.0493
14_national,7_dynamic + datawig + zero,20,0.9287 ± 0.0489
14_national,7_dynamic + datawig + zero,21,0.9288 ± 0.0485
14_national,7_dynamic + datawig + zero,22,0.9288 ± 0.0484
14_national,7_dynamic + datawig + zero,23,0.9280 ± 0.0487
