Dataset,method,Experiment,Accuracy
11_iris,8_dynamic + datawig + knn,7,0.7778 ± 0.1161
11_iris,8_dynamic + datawig + knn,8,0.7764 ± 0.1153
11_iris,8_dynamic + datawig + knn,9,0.7815 ± 0.1116
11_iris,8_dynamic + datawig + knn,10,0.7856 ± 0.1108
11_iris,8_dynamic + datawig + knn,11,0.7818 ± 0.1131
11_iris,8_dynamic + datawig + knn,12,0.7769 ± 0.1130
11_iris,8_dynamic + datawig + knn,13,0.7838 ± 0.1144
11_iris,8_dynamic + datawig + knn,14,0.7841 ± 0.1109
11_iris,8_dynamic + datawig + knn,15,0.7904 ± 0.1115
11_iris,8_dynamic + datawig + knn,16,0.7847 ± 0.1159
11_iris,8_dynamic + datawig + knn,17,0.7810 ± 0.1151
11_iris,8_dynamic + datawig + knn,18,0.7772 ± 0.1145
11_iris,8_dynamic + datawig + knn,19,0.7819 ± 0.1160
11_iris,8_dynamic + datawig + knn,20,0.7839 ± 0.1154
11_iris,8_dynamic + datawig + knn,21,0.7862 ± 0.1160
11_iris,8_dynamic + datawig + knn,22,0.7859 ± 0.1158
11_iris,8_dynamic + datawig + knn,23,0.7826 ± 0.1167
11_iris,8_dynamic + datawig + knn,24,0.7843 ± 0.1153
11_iris,8_dynamic + datawig + knn,25,0.7822 ± 0.1144
11_iris,8_dynamic + datawig + knn,26,0.7812 ± 0.1136
11_iris,8_dynamic + datawig + knn,27,0.7827 ± 0.1137
11_iris,8_dynamic + datawig + knn,28,0.7786 ± 0.1145
11_iris,8_dynamic + datawig + knn,29,0.7789 ± 0.1155
11_iris,8_dynamic + datawig + knn,30,0.7796 ± 0.1150
11_iris,9_datawig+zero+knn.py,1,0.7111 ± 0.0314
11_iris,9_datawig+zero+knn.py,2,0.7222 ± 0.0416
11_iris,9_datawig+zero+knn.py,3,0.7037 ± 0.0457
11_iris,9_datawig+zero+knn.py,4,0.7000 ± 0.0509
11_iris,9_datawig+zero+knn.py,5,0.7000 ± 0.0558
11_iris,9_datawig+zero+knn.py,6,0.6870 ± 0.0589
11_iris,9_datawig+zero+knn.py,7,0.6730 ± 0.0656
11_iris,9_datawig+zero+knn.py,8,0.6653 ± 0.0649
11_iris,9_datawig+zero+knn.py,9,0.6543 ± 0.0692
11_iris,9_datawig+zero+knn.py,10,0.6633 ± 0.0717
11_iris,9_datawig+zero+knn.py,11,0.6697 ± 0.0717
11_iris,9_datawig+zero+knn.py,12,0.6685 ± 0.0698
11_iris,9_datawig+zero+knn.py,13,0.6658 ± 0.0681
11_iris,9_datawig+zero+knn.py,14,0.6571 ± 0.0732
11_iris,9_datawig+zero+knn.py,15,0.6593 ± 0.0733
11_iris,9_datawig+zero+knn.py,16,0.6611 ± 0.0715
11_iris,9_datawig+zero+knn.py,17,0.6614 ± 0.0703
11_iris,9_datawig+zero+knn.py,18,0.6599 ± 0.0689
11_iris,9_datawig+zero+knn.py,19,0.6544 ± 0.0724
11_iris,9_datawig+zero+knn.py,20,0.6506 ± 0.0737
11_iris,9_datawig+zero+knn.py,21,0.6481 ± 0.0729
11_iris,9_datawig+zero+knn.py,22,0.6525 ± 0.0741
11_iris,9_datawig+zero+knn.py,23,0.6449 ± 0.0808
11_iris,9_datawig+zero+knn.py,24,0.6435 ± 0.0802
11_iris,9_datawig+zero+knn.py,25,0.6400 ± 0.0809
11_iris,9_datawig+zero+knn.py,26,0.6393 ± 0.0795
11_iris,9_datawig+zero+knn.py,27,0.6366 ± 0.0794
11_iris,9_datawig+zero+knn.py,28,0.6349 ± 0.0785
11_iris,9_datawig+zero+knn.py,29,0.6352 ± 0.0772
11_iris,9_datawig+zero+knn.py,30,0.6311 ± 0.0792
11_iris,11_all(dynamic+datawig+zero+knn),1,0.7250 ± 0.0433
11_iris,11_all(dynamic+datawig+zero+knn),2,0.7542 ± 0.0897
11_iris,11_all(dynamic+datawig+zero+knn),3,0.7833 ± 0.0918
11_iris,11_all(dynamic+datawig+zero+knn),4,0.7917 ± 0.0924
11_iris,11_all(dynamic+datawig+zero+knn),5,0.8017 ± 0.0872
11_iris,11_all(dynamic+datawig+zero+knn),6,0.8014 ± 0.0930
11_iris,11_all(dynamic+datawig+zero+knn),7,0.7869 ± 0.0969
11_iris,11_all(dynamic+datawig+zero+knn),8,0.7844 ± 0.0972
11_iris,11_all(dynamic+datawig+zero+knn),9,0.7861 ± 0.0931
11_iris,11_all(dynamic+datawig+zero+knn),10,0.7908 ± 0.0949
11_iris,11_all(dynamic+datawig+zero+knn),11,0.7848 ± 0.0988
11_iris,11_all(dynamic+datawig+zero+knn),12,0.7785 ± 0.0992
11_iris,11_all(dynamic+datawig+zero+knn),13,0.7840 ± 0.0992
11_iris,11_all(dynamic+datawig+zero+knn),14,0.7833 ± 0.0959
11_iris,11_all(dynamic+datawig+zero+knn),15,0.7906 ± 0.0983
11_iris,11_all(dynamic+datawig+zero+knn),16,0.7865 ± 0.1024
11_iris,11_all(dynamic+datawig+zero+knn),17,0.7838 ± 0.1014
11_iris,11_all(dynamic+datawig+zero+knn),18,0.7819 ± 0.0995
11_iris,11_all(dynamic+datawig+zero+knn),19,0.7855 ± 0.0999
11_iris,11_all(dynamic+datawig+zero+knn),20,0.7879 ± 0.0998
11_iris,11_all(dynamic+datawig+zero+knn),21,0.7849 ± 0.1011
11_iris,11_all(dynamic+datawig+zero+knn),22,0.7856 ± 0.1011
11_iris,11_all(dynamic+datawig+zero+knn),23,0.7819 ± 0.1010
11_iris,11_all(dynamic+datawig+zero+knn),24,0.7840 ± 0.1002
11_iris,11_all(dynamic+datawig+zero+knn),25,0.7843 ± 0.1002
11_iris,11_all(dynamic+datawig+zero+knn),26,0.7856 ± 0.1006
11_iris,11_all(dynamic+datawig+zero+knn),27,0.7858 ± 0.0997
11_iris,11_all(dynamic+datawig+zero+knn),28,0.7839 ± 0.1001
11_iris,11_all(dynamic+datawig+zero+knn),29,0.7830 ± 0.1000
11_iris,11_all(dynamic+datawig+zero+knn),30,0.7836 ± 0.0996
11_iris,datawig,1,0.7333 ± 0.0000
11_iris,datawig,2,0.7667 ± 0.0000
11_iris,datawig,3,0.6667 ± 0.0000
11_iris,datawig,4,0.7333 ± 0.0000
11_iris,datawig,5,0.7333 ± 0.0000
11_iris,datawig,6,0.6333 ± 0.0000
11_iris,datawig,7,0.5667 ± 0.0000
11_iris,datawig,8,0.6333 ± 0.0000
11_iris,datawig,9,0.6000 ± 0.0000
