Dataset,method,Experiment,Accuracy
7_post,5_knn+datawig,23,0.1051 ± 0.0829
7_post,5_knn+datawig,24,0.1007 ± 0.0838
7_post,5_knn+datawig,25,0.0967 ± 0.0845
7_post,5_knn+datawig,26,0.0951 ± 0.0839
7_post,5_knn+datawig,27,0.0936 ± 0.0834
7_post,5_knn+datawig,28,0.0942 ± 0.0819
7_post,5_knn+datawig,29,0.0948 ± 0.0806
7_post,5_knn+datawig,30,0.0944 ± 0.0807
7_post,6_dynamic + datawig,1,0.9444 ± 0.0000
7_post,6_dynamic + datawig,2,0.9444 ± 0.0000
7_post,6_dynamic + datawig,3,0.9444 ± 0.0321
7_post,6_dynamic + datawig,4,0.9514 ± 0.0333
7_post,6_dynamic + datawig,5,0.9611 ± 0.0356
7_post,6_dynamic + datawig,6,0.9676 ± 0.0356
7_post,6_dynamic + datawig,7,0.9722 ± 0.0348
7_post,6_dynamic + datawig,8,0.9653 ± 0.0387
7_post,6_dynamic + datawig,9,0.9630 ± 0.0414
7_post,6_dynamic + datawig,10,0.9667 ± 0.0408
7_post,6_dynamic + datawig,11,0.9697 ± 0.0401
7_post,6_dynamic + datawig,12,0.9676 ± 0.0390
7_post,6_dynamic + datawig,13,0.9679 ± 0.0383
7_post,6_dynamic + datawig,14,0.9683 ± 0.0376
7_post,6_dynamic + datawig,15,0.9630 ± 0.0438
7_post,6_dynamic + datawig,16,0.9618 ± 0.0427
7_post,6_dynamic + datawig,17,0.9608 ± 0.0416
7_post,6_dynamic + datawig,18,0.9614 ± 0.0410
7_post,6_dynamic + datawig,19,0.9591 ± 0.0417
7_post,6_dynamic + datawig,20,0.9597 ± 0.0412
7_post,6_dynamic + datawig,21,0.9563 ± 0.0446
7_post,6_dynamic + datawig,22,0.9558 ± 0.0436
7_post,6_dynamic + datawig,23,0.9553 ± 0.0428
7_post,6_dynamic + datawig,24,0.9572 ± 0.0428
7_post,6_dynamic + datawig,25,0.9589 ± 0.0428
7_post,6_dynamic + datawig,26,0.9583 ± 0.0434
7_post,6_dynamic + datawig,27,0.9568 ± 0.0436
7_post,6_dynamic + datawig,28,0.9583 ± 0.0436
7_post,6_dynamic + datawig,29,0.9588 ± 0.0432
7_post,6_dynamic + datawig,30,0.9583 ± 0.0438
7_post,7_dynamic + datawig + zero,1,0.9259 ± 0.0262
7_post,7_dynamic + datawig + zero,2,0.9352 ± 0.0207
7_post,7_dynamic + datawig + zero,3,0.9444 ± 0.0370
7_post,7_dynamic + datawig + zero,4,0.9537 ± 0.0382
7_post,7_dynamic + datawig + zero,5,0.9593 ± 0.0378
7_post,7_dynamic + datawig + zero,6,0.9660 ± 0.0377
7_post,7_dynamic + datawig + zero,7,0.9709 ± 0.0368
7_post,7_dynamic + datawig + zero,8,0.9630 ± 0.0444
7_post,7_dynamic + datawig + zero,9,0.9650 ± 0.0432
7_post,7_dynamic + datawig + zero,10,0.9685 ± 0.0423
7_post,7_dynamic + datawig + zero,11,0.9714 ± 0.0413
7_post,7_dynamic + datawig + zero,12,0.9691 ± 0.0402
7_post,7_dynamic + datawig + zero,13,0.9687 ± 0.0394
7_post,7_dynamic + datawig + zero,14,0.9709 ± 0.0388
7_post,7_dynamic + datawig + zero,15,0.9679 ± 0.0397
7_post,7_dynamic + datawig + zero,16,0.9688 ± 0.0391
7_post,7_dynamic + datawig + zero,17,0.9662 ± 0.0398
7_post,7_dynamic + datawig + zero,18,0.9671 ± 0.0393
7_post,7_dynamic + datawig + zero,19,0.9659 ± 0.0386
7_post,7_dynamic + datawig + zero,20,0.9667 ± 0.0382
7_post,7_dynamic + datawig + zero,21,0.9630 ± 0.0443
7_post,7_dynamic + datawig + zero,22,0.9604 ± 0.0451
7_post,7_dynamic + datawig + zero,23,0.9597 ± 0.0442
7_post,7_dynamic + datawig + zero,24,0.9606 ± 0.0439
7_post,7_dynamic + datawig + zero,25,0.9615 ± 0.0435
7_post,7_dynamic + datawig + zero,26,0.9623 ± 0.0431
7_post,7_dynamic + datawig + zero,27,0.9609 ± 0.0432
7_post,7_dynamic + datawig + zero,28,0.9623 ± 0.0430
7_post,7_dynamic + datawig + zero,29,0.9630 ± 0.0427
7_post,7_dynamic + datawig + zero,30,0.9636 ± 0.0424
7_post,8_dynamic + datawig + knn,1,0.9444 ± 0.0000
7_post,8_dynamic + datawig + knn,2,0.9444 ± 0.0000
7_post,8_dynamic + datawig + knn,3,0.9568 ± 0.0231
7_post,8_dynamic + datawig + knn,4,0.9630 ± 0.0262
7_post,8_dynamic + datawig + knn,5,0.9667 ± 0.0272
7_post,8_dynamic + datawig + knn,6,0.9691 ± 0.0276
7_post,8_dynamic + datawig + knn,7,0.9735 ± 0.0277
7_post,8_dynamic + datawig + knn,8,0.9653 ± 0.0387
7_post,8_dynamic + datawig + knn,9,0.9650 ± 0.0404
7_post,8_dynamic + datawig + knn,10,0.9685 ± 0.0398
7_post,8_dynamic + datawig + knn,11,0.9714 ± 0.0390
7_post,8_dynamic + datawig + knn,12,0.9691 ± 0.0381
7_post,8_dynamic + datawig + knn,13,0.9715 ± 0.0375
7_post,8_dynamic + datawig + knn,14,0.9722 ± 0.0369
7_post,8_dynamic + datawig + knn,15,0.9704 ± 0.0363
7_post,8_dynamic + datawig + knn,16,0.9711 ± 0.0358
7_post,8_dynamic + datawig + knn,17,0.9673 ± 0.0399
7_post,8_dynamic + datawig + knn,18,0.9681 ± 0.0394
7_post,8_dynamic + datawig + knn,19,0.9649 ± 0.0424
7_post,8_dynamic + datawig + knn,20,0.9648 ± 0.0418
7_post,8_dynamic + datawig + knn,21,0.9621 ± 0.0441
7_post,8_dynamic + datawig + knn,22,0.9596 ± 0.0449
7_post,8_dynamic + datawig + knn,23,0.9589 ± 0.0440
7_post,8_dynamic + datawig + knn,24,0.9606 ± 0.0439
7_post,8_dynamic + datawig + knn,25,0.9622 ± 0.0437
7_post,8_dynamic + datawig + knn,26,0.9630 ± 0.0433
7_post,8_dynamic + datawig + knn,27,0.9609 ± 0.0449
7_post,8_dynamic + datawig + knn,28,0.9623 ± 0.0447
7_post,8_dynamic + datawig + knn,29,0.9623 ± 0.0442
7_post,8_dynamic + datawig + knn,30,0.9623 ± 0.0445
7_post,9_datawig+zero+knn.py,1,0.1111 ± 0.0907
7_post,9_datawig+zero+knn.py,2,0.1204 ± 0.0674
7_post,9_datawig+zero+knn.py,3,0.1049 ± 0.0715
7_post,9_datawig+zero+knn.py,4,0.1204 ± 0.0780
7_post,9_datawig+zero+knn.py,5,0.1333 ± 0.0903
7_post,9_datawig+zero+knn.py,6,0.1204 ± 0.0893
7_post,9_datawig+zero+knn.py,7,0.1190 ± 0.0827
7_post,9_datawig+zero+knn.py,8,0.1319 ± 0.0861
7_post,9_datawig+zero+knn.py,9,0.1296 ± 0.0907
7_post,9_datawig+zero+knn.py,10,0.1259 ± 0.0872
7_post,9_datawig+zero+knn.py,11,0.1212 ± 0.0859
7_post,9_datawig+zero+knn.py,12,0.1219 ± 0.0837
7_post,9_datawig+zero+knn.py,13,0.1254 ± 0.0922
7_post,9_datawig+zero+knn.py,14,0.1270 ± 0.0893
7_post,9_datawig+zero+knn.py,15,0.1272 ± 0.0866
7_post,9_datawig+zero+knn.py,16,0.1262 ± 0.0847
7_post,9_datawig+zero+knn.py,17,0.1296 ± 0.0898
7_post,9_datawig+zero+knn.py,18,0.1276 ± 0.0892
7_post,9_datawig+zero+knn.py,19,0.1287 ± 0.0896
7_post,9_datawig+zero+knn.py,20,0.1241 ± 0.0904
7_post,9_datawig+zero+knn.py,21,0.1279 ± 0.0900
7_post,9_datawig+zero+knn.py,22,0.1279 ± 0.0891
7_post,9_datawig+zero+knn.py,23,0.1256 ± 0.0891
7_post,9_datawig+zero+knn.py,24,0.1235 ± 0.0904
7_post,9_datawig+zero+knn.py,25,0.1215 ± 0.0915
7_post,9_datawig+zero+knn.py,26,0.1246 ± 0.0946
7_post,9_datawig+zero+knn.py,27,0.1248 ± 0.0938
7_post,9_datawig+zero+knn.py,28,0.1243 ± 0.0922
7_post,9_datawig+zero+knn.py,29,0.1271 ± 0.0919
7_post,9_datawig+zero+knn.py,30,0.1272 ± 0.0904
7_post,10_dynamic+zero+knn,1,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,2,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,3,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,4,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,5,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,6,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,7,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,8,0.8333 ± 0.0000
7_post,10_dynamic+zero+knn,9,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,10,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,11,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,12,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,13,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,14,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,15,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,16,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,17,0.8333 ± 0.0000
7_post,10_dynamic+zero+knn,18,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,19,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,20,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,21,0.8333 ± 0.0000
7_post,10_dynamic+zero+knn,22,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,23,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,24,0.9444 ± 0.0000
7_post,10_dynamic+zero+knn,25,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,26,0.8889 ± 0.0000
7_post,10_dynamic+zero+knn,27,0.8333 ± 0.0000
7_post,10_dynamic+zero+knn,28,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,29,1.0000 ± 0.0000
7_post,10_dynamic+zero+knn,30,0.8889 ± 0.0000
7_post,11_all(dynamic+datawig+zero+knn),1,0.9444 ± 0.0000
7_post,11_all(dynamic+datawig+zero+knn),2,0.9444 ± 0.0000
7_post,11_all(dynamic+datawig+zero+knn),3,0.9537 ± 0.0307
7_post,11_all(dynamic+datawig+zero+knn),4,0.9583 ± 0.0311
7_post,11_all(dynamic+datawig+zero+knn),5,0.9667 ± 0.0324
7_post,11_all(dynamic+datawig+zero+knn),6,0.9699 ± 0.0320
7_post,11_all(dynamic+datawig+zero+knn),7,0.9742 ± 0.0314
7_post,11_all(dynamic+datawig+zero+knn),8,0.9670 ± 0.0389
7_post,11_all(dynamic+datawig+zero+knn),9,0.9676 ± 0.0401
7_post,11_all(dynamic+datawig+zero+knn),10,0.9708 ± 0.0393
7_post,11_all(dynamic+datawig+zero+knn),11,0.9735 ± 0.0384
7_post,11_all(dynamic+datawig+zero+knn),12,0.9711 ± 0.0376
7_post,11_all(dynamic+datawig+zero+knn),13,0.9701 ± 0.0385
7_post,11_all(dynamic+datawig+zero+knn),14,0.9712 ± 0.0378
7_post,11_all(dynamic+datawig+zero+knn),15,0.9685 ± 0.0384
7_post,11_all(dynamic+datawig+zero+knn),16,0.9696 ± 0.0379
7_post,11_all(dynamic+datawig+zero+knn),17,0.9681 ± 0.0385
7_post,11_all(dynamic+datawig+zero+knn),18,0.9691 ± 0.0381
7_post,11_all(dynamic+datawig+zero+knn),19,0.9664 ± 0.0404
7_post,11_all(dynamic+datawig+zero+knn),20,0.9674 ± 0.0400
7_post,11_all(dynamic+datawig+zero+knn),21,0.9663 ± 0.0393
7_post,11_all(dynamic+datawig+zero+knn),22,0.9634 ± 0.0409
7_post,11_all(dynamic+datawig+zero+knn),23,0.9626 ± 0.0402
7_post,11_all(dynamic+datawig+zero+knn),24,0.9635 ± 0.0400
7_post,11_all(dynamic+datawig+zero+knn),25,0.9639 ± 0.0396
7_post,11_all(dynamic+datawig+zero+knn),26,0.9653 ± 0.0394
7_post,11_all(dynamic+datawig+zero+knn),27,0.9635 ± 0.0408
7_post,11_all(dynamic+datawig+zero+knn),28,0.9648 ± 0.0407
7_post,11_all(dynamic+datawig+zero+knn),29,0.9655 ± 0.0404
7_post,11_all(dynamic+datawig+zero+knn),30,0.9662 ± 0.0401
7_post_patient,datawig,1,0.2222 ± 0.0000
7_post_patient,datawig,2,0.1111 ± 0.0000
7_post_patient,datawig,3,0.0000 ± 0.0000
7_post_patient,datawig,4,0.0556 ± 0.0000
7_post_patient,datawig,5,0.1111 ± 0.0000
7_post_patient,datawig,6,0.0000 ± 0.0000
7_post_patient,datawig,7,0.1111 ± 0.0000
7_post_patient,datawig,8,0.1667 ± 0.0000
7_post_patient,datawig,9,0.0000 ± 0.0000
7_post_patient,datawig,10,0.1111 ± 0.0000
7_post_patient,datawig,11,0.0000 ± 0.0000
7_post_patient,datawig,12,0.0556 ± 0.0000
7_post_patient,datawig,13,0.0000 ± 0.0000
7_post_patient,datawig,14,0.1667 ± 0.0000
7_post_patient,datawig,15,0.2222 ± 0.0000
7_post_patient,datawig,16,0.1667 ± 0.0000
7_post_patient,datawig,17,0.0000 ± 0.0000
7_post_patient,datawig,18,0.0000 ± 0.0000
7_post_patient,datawig,19,0.1111 ± 0.0000
7_post_patient,datawig,20,0.0000 ± 0.0000
7_post_patient,datawig,21,0.1667 ± 0.0000
7_post_patient,datawig,22,0.0556 ± 0.0000
7_post_patient,datawig,23,0.0556 ± 0.0000
7_post_patient,datawig,24,0.0000 ± 0.0000
7_post_patient,datawig,25,0.0000 ± 0.0000
7_post_patient,datawig,26,0.0000 ± 0.0000
7_post_patient,datawig,27,0.0000 ± 0.0000
7_post_patient,datawig,28,0.1111 ± 0.0000
7_post_patient,datawig,29,0.1111 ± 0.0000
7_post_patient,datawig,30,0.0556 ± 0.0000
7_post_patient,dynamic,1,0.6111 ± 0.0000
7_post_patient,dynamic,2,0.6667 ± 0.0000
7_post_patient,dynamic,3,0.5000 ± 0.0000
