Dataset,method,Experiment,Accuracy
21_yeast,7_dynamic + datawig + zero,16,0.9946 ± 0.0048
21_yeast,7_dynamic + datawig + zero,17,0.9944 ± 0.0048
21_yeast,7_dynamic + datawig + zero,18,0.9946 ± 0.0047
21_yeast,7_dynamic + datawig + zero,19,0.9945 ± 0.0046
21_yeast,7_dynamic + datawig + zero,20,0.9946 ± 0.0046
21_yeast,7_dynamic + datawig + zero,21,0.9947 ± 0.0046
21_yeast,7_dynamic + datawig + zero,22,0.9947 ± 0.0045
21_yeast,7_dynamic + datawig + zero,23,0.9948 ± 0.0044
21_yeast,7_dynamic + datawig + zero,24,0.9949 ± 0.0043
21_yeast,7_dynamic + datawig + zero,25,0.9951 ± 0.0044
21_yeast,7_dynamic + datawig + zero,26,0.9952 ± 0.0043
21_yeast,7_dynamic + datawig + zero,27,0.9953 ± 0.0043
21_yeast,7_dynamic + datawig + zero,28,0.9955 ± 0.0043
21_yeast,7_dynamic + datawig + zero,29,0.9955 ± 0.0043
21_yeast,7_dynamic + datawig + zero,30,0.9955 ± 0.0042
21_yeast,8_dynamic + datawig + knn,1,1.0000 ± 0.0000
21_yeast,8_dynamic + datawig + knn,2,0.9983 ± 0.0017
21_yeast,8_dynamic + datawig + knn,3,0.9940 ± 0.0071
21_yeast,8_dynamic + datawig + knn,4,0.9941 ± 0.0062
21_yeast,8_dynamic + datawig + knn,5,0.9944 ± 0.0056
21_yeast,8_dynamic + datawig + knn,6,0.9949 ± 0.0053
21_yeast,8_dynamic + datawig + knn,7,0.9937 ± 0.0057
21_yeast,8_dynamic + datawig + knn,8,0.9937 ± 0.0054
21_yeast,8_dynamic + datawig + knn,9,0.9940 ± 0.0052
21_yeast,8_dynamic + datawig + knn,10,0.9938 ± 0.0050
21_yeast,8_dynamic + datawig + knn,11,0.9942 ± 0.0049
21_yeast,8_dynamic + datawig + knn,12,0.9941 ± 0.0047
21_yeast,8_dynamic + datawig + knn,13,0.9945 ± 0.0047
21_yeast,8_dynamic + datawig + knn,14,0.9945 ± 0.0046
21_yeast,8_dynamic + datawig + knn,15,0.9948 ± 0.0046
21_yeast,8_dynamic + datawig + knn,16,0.9949 ± 0.0045
21_yeast,8_dynamic + datawig + knn,17,0.9947 ± 0.0047
21_yeast,8_dynamic + datawig + knn,18,0.9948 ± 0.0046
21_yeast,8_dynamic + datawig + knn,19,0.9948 ± 0.0045
21_yeast,8_dynamic + datawig + knn,20,0.9949 ± 0.0045
21_yeast,8_dynamic + datawig + knn,21,0.9951 ± 0.0044
21_yeast,8_dynamic + datawig + knn,22,0.9951 ± 0.0043
21_yeast,8_dynamic + datawig + knn,23,0.9951 ± 0.0042
