Dataset,method,Experiment,Accuracy
6_chess,5_knn+datawig,12,0.0509 ± 0.0031
6_chess,5_knn+datawig,13,0.0509 ± 0.0029
6_chess,5_knn+datawig,14,0.0515 ± 0.0035
6_chess,5_knn+datawig,15,0.0515 ± 0.0034
6_chess,5_knn+datawig,16,0.0513 ± 0.0034
6_chess,5_knn+datawig,17,0.0516 ± 0.0034
6_chess,5_knn+datawig,18,0.0515 ± 0.0033
6_chess,5_knn+datawig,19,0.0516 ± 0.0033
6_chess,5_knn+datawig,20,0.0518 ± 0.0034
6_chess,5_knn+datawig,21,0.0517 ± 0.0033
6_chess,5_knn+datawig,22,0.0516 ± 0.0033
6_chess,5_knn+datawig,23,0.0518 ± 0.0033
6_chess,5_knn+datawig,24,0.0518 ± 0.0032
6_chess,5_knn+datawig,25,0.0519 ± 0.0032
6_chess,5_knn+datawig,26,0.0518 ± 0.0031
6_chess,5_knn+datawig,27,0.0517 ± 0.0032
6_chess,5_knn+datawig,28,0.0517 ± 0.0032
6_chess,5_knn+datawig,29,0.0518 ± 0.0031
6_chess,5_knn+datawig,30,0.0518 ± 0.0031
6_chess,6_dynamic + datawig,1,0.9509 ± 0.0006
6_chess,6_dynamic + datawig,2,0.9517 ± 0.0010
6_chess,6_dynamic + datawig,3,0.9520 ± 0.0011
6_chess,6_dynamic + datawig,4,0.9510 ± 0.0020
6_chess,6_dynamic + datawig,5,0.9501 ± 0.0027
6_chess,6_dynamic + datawig,6,0.9499 ± 0.0025
6_chess,6_dynamic + datawig,7,0.9500 ± 0.0024
6_chess,6_dynamic + datawig,8,0.9501 ± 0.0024
6_chess,6_dynamic + datawig,9,0.9508 ± 0.0029
6_chess,6_dynamic + datawig,10,0.9507 ± 0.0027
6_chess,6_dynamic + datawig,11,0.9505 ± 0.0028
6_chess,6_dynamic + datawig,12,0.9503 ± 0.0027
6_chess,6_dynamic + datawig,13,0.9502 ± 0.0026
6_chess,6_dynamic + datawig,14,0.9498 ± 0.0030
6_chess,6_dynamic + datawig,15,0.9497 ± 0.0030
6_chess,6_dynamic + datawig,16,0.9498 ± 0.0029
6_chess,6_dynamic + datawig,17,0.9496 ± 0.0030
6_chess,6_dynamic + datawig,18,0.9498 ± 0.0031
6_chess,6_dynamic + datawig,19,0.9498 ± 0.0030
6_chess,6_dynamic + datawig,20,0.9495 ± 0.0032
6_chess,6_dynamic + datawig,21,0.9496 ± 0.0032
6_chess,6_dynamic + datawig,22,0.9497 ± 0.0031
6_chess,6_dynamic + datawig,23,0.9495 ± 0.0032
6_chess,6_dynamic + datawig,24,0.9495 ± 0.0031
6_chess,6_dynamic + datawig,25,0.9494 ± 0.0031
6_chess,6_dynamic + datawig,26,0.9495 ± 0.0030
6_chess,6_dynamic + datawig,27,0.9496 ± 0.0030
6_chess,6_dynamic + datawig,28,0.9494 ± 0.0031
6_chess,6_dynamic + datawig,29,0.9495 ± 0.0031
6_chess,6_dynamic + datawig,30,0.9495 ± 0.0031
6_chess,7_dynamic + datawig + zero,1,0.9508 ± 0.0007
6_chess,7_dynamic + datawig + zero,2,0.9520 ± 0.0020
6_chess,7_dynamic + datawig + zero,3,0.9525 ± 0.0019
6_chess,7_dynamic + datawig + zero,4,0.9511 ± 0.0029
6_chess,7_dynamic + datawig + zero,5,0.9502 ± 0.0032
6_chess,7_dynamic + datawig + zero,6,0.9500 ± 0.0030
6_chess,7_dynamic + datawig + zero,7,0.9497 ± 0.0030
6_chess,7_dynamic + datawig + zero,8,0.9502 ± 0.0031
6_chess,7_dynamic + datawig + zero,9,0.9506 ± 0.0032
6_chess,7_dynamic + datawig + zero,10,0.9506 ± 0.0031
6_chess,7_dynamic + datawig + zero,11,0.9504 ± 0.0030
