Dataset,method,Experiment,Accuracy
23_ai4i,zero,1,0.6070 ± 0.0000
23_ai4i,zero,2,0.5975 ± 0.0000
23_ai4i,zero,3,0.6060 ± 0.0000
23_ai4i,zero,4,0.5945 ± 0.0000
23_ai4i,zero,5,0.6050 ± 0.0000
23_ai4i,zero,6,0.6070 ± 0.0000
23_ai4i,zero,7,0.5905 ± 0.0000
23_ai4i,zero,8,0.6130 ± 0.0000
23_ai4i,zero,9,0.5985 ± 0.0000
23_ai4i,zero,10,0.5790 ± 0.0000
23_ai4i,zero,11,0.5925 ± 0.0000
23_ai4i,zero,12,0.5955 ± 0.0000
23_ai4i,zero,13,0.5925 ± 0.0000
23_ai4i,zero,14,0.5935 ± 0.0000
23_ai4i,zero,15,0.5955 ± 0.0000
23_ai4i,zero,16,0.6150 ± 0.0000
23_ai4i,zero,17,0.5970 ± 0.0000
23_ai4i,zero,18,0.6090 ± 0.0000
23_ai4i,zero,19,0.5960 ± 0.0000
23_ai4i,zero,20,0.6055 ± 0.0000
23_ai4i,zero,21,0.6040 ± 0.0000
23_ai4i,zero,22,0.6055 ± 0.0000
23_ai4i,zero,23,0.5850 ± 0.0000
23_ai4i,zero,24,0.6020 ± 0.0000
23_ai4i,zero,25,0.5960 ± 0.0000
23_ai4i,zero,26,0.6065 ± 0.0000
23_ai4i,zero,27,0.5960 ± 0.0000
23_ai4i,zero,28,0.5975 ± 0.0000
23_ai4i,zero,29,0.5945 ± 0.0000
23_ai4i,zero,30,0.6055 ± 0.0000
23_ai4i,3_zero+datawig,1,0.6070 ± 0.0000
23_ai4i,3_zero+datawig,2,0.6025 ± 0.0045
23_ai4i,3_zero+datawig,3,0.6037 ± 0.0040
23_ai4i,3_zero+datawig,4,0.6014 ± 0.0053
23_ai4i,3_zero+datawig,5,0.6021 ± 0.0050
23_ai4i,3_zero+datawig,6,0.6030 ± 0.0049
23_ai4i,3_zero+datawig,7,0.6011 ± 0.0065
23_ai4i,3_zero+datawig,8,0.6025 ± 0.0072
23_ai4i,3_zero+datawig,9,0.6021 ± 0.0069
23_ai4i,3_zero+datawig,10,0.5997 ± 0.0097
23_ai4i,3_zero+datawig,11,0.5990 ± 0.0095
23_ai4i,3_zero+datawig,12,0.5987 ± 0.0091
23_ai4i,3_zero+datawig,13,0.5982 ± 0.0089
23_ai4i,3_zero+datawig,14,0.5979 ± 0.0087
23_ai4i,3_zero+datawig,15,0.5977 ± 0.0084
23_ai4i,3_zero+datawig,16,0.5988 ± 0.0092
23_ai4i,3_zero+datawig,17,0.5987 ± 0.0089
23_ai4i,3_zero+datawig,18,0.5992 ± 0.0089
23_ai4i,3_zero+datawig,19,0.5991 ± 0.0087
23_ai4i,3_zero+datawig,20,0.5994 ± 0.0086
23_ai4i,3_zero+datawig,21,0.5996 ± 0.0085
23_ai4i,3_zero+datawig,22,0.5999 ± 0.0084
23_ai4i,3_zero+datawig,23,0.5992 ± 0.0088
23_ai4i,3_zero+datawig,24,0.5993 ± 0.0086
23_ai4i,3_zero+datawig,25,0.5992 ± 0.0084
23_ai4i,3_zero+datawig,26,0.5995 ± 0.0084
23_ai4i,3_zero+datawig,27,0.5994 ± 0.0083
23_ai4i,3_zero+datawig,28,0.5993 ± 0.0081
23_ai4i,3_zero+datawig,29,0.5991 ± 0.0080
23_ai4i,3_zero+datawig,30,0.5993 ± 0.0080
23_ai4i,4_knn + dynamic,1,0.5460 ± 0.0610
23_ai4i,4_knn + dynamic,2,0.5431 ± 0.0595
23_ai4i,4_knn + dynamic,3,0.5427 ± 0.0610
23_ai4i,4_knn + dynamic,4,0.5414 ± 0.0601
23_ai4i,4_knn + dynamic,5,0.5414 ± 0.0609
23_ai4i,4_knn + dynamic,6,0.5424 ± 0.0607
23_ai4i,4_knn + dynamic,7,0.5416 ± 0.0598
23_ai4i,4_knn + dynamic,8,0.5416 ± 0.0613
23_ai4i,4_knn + dynamic,9,0.5418 ± 0.0607
23_ai4i,4_knn + dynamic,10,0.5413 ± 0.0591
23_ai4i,4_knn + dynamic,11,0.5411 ± 0.0587
23_ai4i,4_knn + dynamic,12,0.5406 ± 0.0588
23_ai4i,4_knn + dynamic,13,0.5398 ± 0.0591
23_ai4i,4_knn + dynamic,14,0.5401 ± 0.0585
23_ai4i,4_knn + dynamic,15,0.5406 ± 0.0579
23_ai4i,4_knn + dynamic,16,0.5413 ± 0.0583
23_ai4i,4_knn + dynamic,17,0.5410 ± 0.0585
23_ai4i,4_knn + dynamic,18,0.5411 ± 0.0590
23_ai4i,4_knn + dynamic,19,0.5408 ± 0.0590
23_ai4i,4_knn + dynamic,20,0.5407 ± 0.0595
23_ai4i,4_knn + dynamic,21,0.5406 ± 0.0597
23_ai4i,4_knn + dynamic,22,0.5409 ± 0.0597
23_ai4i,4_knn + dynamic,23,0.5409 ± 0.0591
23_ai4i,4_knn + dynamic,24,0.5408 ± 0.0592
23_ai4i,4_knn + dynamic,25,0.5410 ± 0.0590
23_ai4i,4_knn + dynamic,26,0.5410 ± 0.0592
23_ai4i,4_knn + dynamic,27,0.5408 ± 0.0592
23_ai4i,4_knn + dynamic,28,0.5410 ± 0.0589
23_ai4i,4_knn + dynamic,29,0.5407 ± 0.0590
23_ai4i,4_knn + dynamic,30,0.5409 ± 0.0590
23_ai4i,5_knn+datawig,1,0.6070 ± 0.0000
23_ai4i,5_knn+datawig,2,0.6025 ± 0.0045
23_ai4i,5_knn+datawig,3,0.6037 ± 0.0040
23_ai4i,5_knn+datawig,4,0.6014 ± 0.0053
23_ai4i,5_knn+datawig,5,0.6021 ± 0.0049
23_ai4i,5_knn+datawig,6,0.6029 ± 0.0049
23_ai4i,5_knn+datawig,7,0.6011 ± 0.0063
23_ai4i,5_knn+datawig,8,0.6026 ± 0.0070
23_ai4i,5_knn+datawig,9,0.6022 ± 0.0068
23_ai4i,5_knn+datawig,10,0.5999 ± 0.0095
23_ai4i,5_knn+datawig,11,0.5992 ± 0.0093
23_ai4i,5_knn+datawig,12,0.5989 ± 0.0089
23_ai4i,5_knn+datawig,13,0.5984 ± 0.0087
23_ai4i,5_knn+datawig,14,0.5980 ± 0.0085
23_ai4i,5_knn+datawig,15,0.5979 ± 0.0083
23_ai4i,5_knn+datawig,16,0.5989 ± 0.0090
23_ai4i,5_knn+datawig,17,0.5988 ± 0.0087
23_ai4i,5_knn+datawig,18,0.5994 ± 0.0088
23_ai4i,5_knn+datawig,19,0.5992 ± 0.0086
23_ai4i,5_knn+datawig,20,0.5995 ± 0.0085
23_ai4i,5_knn+datawig,21,0.5997 ± 0.0084
23_ai4i,5_knn+datawig,22,0.6000 ± 0.0083
23_ai4i,5_knn+datawig,23,0.5993 ± 0.0086
23_ai4i,5_knn+datawig,24,0.5995 ± 0.0085
23_ai4i,5_knn+datawig,25,0.5993 ± 0.0083
23_ai4i,5_knn+datawig,26,0.5996 ± 0.0083
23_ai4i,5_knn+datawig,27,0.5995 ± 0.0082
23_ai4i,5_knn+datawig,28,0.5994 ± 0.0080
23_ai4i,5_knn+datawig,29,0.5992 ± 0.0079
23_ai4i,5_knn+datawig,30,0.5994 ± 0.0079
23_ai4i,6_dynamic + datawig,1,0.5460 ± 0.0610
23_ai4i,6_dynamic + datawig,2,0.5431 ± 0.0595
23_ai4i,6_dynamic + datawig,3,0.5426 ± 0.0612
23_ai4i,6_dynamic + datawig,4,0.5412 ± 0.0603
23_ai4i,6_dynamic + datawig,5,0.5412 ± 0.0610
23_ai4i,6_dynamic + datawig,6,0.5423 ± 0.0607
23_ai4i,6_dynamic + datawig,7,0.5415 ± 0.0598
23_ai4i,6_dynamic + datawig,8,0.5415 ± 0.0614
23_ai4i,6_dynamic + datawig,9,0.5418 ± 0.0607
23_ai4i,6_dynamic + datawig,10,0.5411 ± 0.0592
23_ai4i,6_dynamic + datawig,11,0.5409 ± 0.0588
23_ai4i,6_dynamic + datawig,12,0.5405 ± 0.0589
