Dataset,method,Experiment,Accuracy
13_image,9_datawig+zero+knn.py,24,0.1587 ± 0.0565
13_image,9_datawig+zero+knn.py,25,0.1590 ± 0.0554
13_image,9_datawig+zero+knn.py,26,0.1584 ± 0.0544
13_image,9_datawig+zero+knn.py,27,0.1570 ± 0.0539
13_image,9_datawig+zero+knn.py,28,0.1590 ± 0.0540
13_image,9_datawig+zero+knn.py,29,0.1576 ± 0.0536
13_image,9_datawig+zero+knn.py,30,0.1563 ± 0.0531
13_image,10_dynamic+zero+knn,1,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,2,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,3,0.9048 ± 0.0000
13_image,10_dynamic+zero+knn,4,0.9286 ± 0.0000
13_image,10_dynamic+zero+knn,5,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,6,0.8095 ± 0.0000
13_image,10_dynamic+zero+knn,7,0.7857 ± 0.0000
13_image,10_dynamic+zero+knn,8,0.7143 ± 0.0000
13_image,10_dynamic+zero+knn,9,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,10,0.8571 ± 0.0000
13_image,10_dynamic+zero+knn,11,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,12,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,13,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,14,0.7857 ± 0.0000
13_image,10_dynamic+zero+knn,15,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,16,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,17,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,18,0.8571 ± 0.0000
13_image,10_dynamic+zero+knn,19,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,20,0.7857 ± 0.0000
13_image,10_dynamic+zero+knn,21,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,22,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,23,0.6905 ± 0.0000
13_image,10_dynamic+zero+knn,24,0.9048 ± 0.0000
13_image,10_dynamic+zero+knn,25,0.8333 ± 0.0000
13_image,10_dynamic+zero+knn,26,0.8571 ± 0.0000
13_image,10_dynamic+zero+knn,27,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,28,0.7857 ± 0.0000
13_image,10_dynamic+zero+knn,29,0.8810 ± 0.0000
13_image,10_dynamic+zero+knn,30,0.8810 ± 0.0000
13_image,11_all(dynamic+datawig+zero+knn),1,0.9107 ± 0.0259
13_image,11_all(dynamic+datawig+zero+knn),2,0.8958 ± 0.0265
13_image,11_all(dynamic+datawig+zero+knn),3,0.8929 ± 0.0344
13_image,11_all(dynamic+datawig+zero+knn),4,0.8899 ± 0.0346
13_image,11_all(dynamic+datawig+zero+knn),5,0.8821 ± 0.0357
13_image,11_all(dynamic+datawig+zero+knn),6,0.8829 ± 0.0382
13_image,11_all(dynamic+datawig+zero+knn),7,0.8793 ± 0.0402
13_image,11_all(dynamic+datawig+zero+knn),8,0.8705 ± 0.0483
13_image,11_all(dynamic+datawig+zero+knn),9,0.8690 ± 0.0461
13_image,11_all(dynamic+datawig+zero+knn),10,0.8708 ± 0.0448
13_image,11_all(dynamic+datawig+zero+knn),11,0.8718 ± 0.0437
13_image,11_all(dynamic+datawig+zero+knn),12,0.8710 ± 0.0420
13_image,11_all(dynamic+datawig+zero+knn),13,0.8727 ± 0.0412
13_image,11_all(dynamic+datawig+zero+knn),14,0.8695 ± 0.0422
13_image,11_all(dynamic+datawig+zero+knn),15,0.8698 ± 0.0409
13_image,11_all(dynamic+datawig+zero+knn),16,0.8698 ± 0.0401
13_image,11_all(dynamic+datawig+zero+knn),17,0.8718 ± 0.0400
13_image,11_all(dynamic+datawig+zero+knn),18,0.8740 ± 0.0407
13_image,11_all(dynamic+datawig+zero+knn),19,0.8722 ± 0.0405
13_image,11_all(dynamic+datawig+zero+knn),20,0.8687 ± 0.0423
13_image,11_all(dynamic+datawig+zero+knn),21,0.8696 ± 0.0421
13_image,11_all(dynamic+datawig+zero+knn),22,0.8712 ± 0.0421
13_image,11_all(dynamic+datawig+zero+knn),23,0.8672 ± 0.0470
13_image,11_all(dynamic+datawig+zero+knn),24,0.8688 ± 0.0466
13_image,11_all(dynamic+datawig+zero+knn),25,0.8671 ± 0.0467
13_image,11_all(dynamic+datawig+zero+knn),26,0.8668 ± 0.0463
13_image,11_all(dynamic+datawig+zero+knn),27,0.8666 ± 0.0456
13_image,11_all(dynamic+datawig+zero+knn),28,0.8678 ± 0.0471
13_image,11_all(dynamic+datawig+zero+knn),29,0.8690 ± 0.0468
13_image,11_all(dynamic+datawig+zero+knn),30,0.8694 ± 0.0462
13_image,datawig,1,0.1190 ± 0.0000
13_image,datawig,2,0.1190 ± 0.0000
13_image,datawig,3,0.0952 ± 0.0000
13_image,datawig,4,0.0714 ± 0.0000
13_image,datawig,5,0.1667 ± 0.0000
13_image,datawig,6,0.1905 ± 0.0000
13_image,datawig,7,0.2143 ± 0.0000
13_image,datawig,8,0.2857 ± 0.0000
13_image,datawig,9,0.1667 ± 0.0000
13_image,datawig,10,0.1429 ± 0.0000
13_image,datawig,11,0.1667 ± 0.0000
13_image,datawig,12,0.1190 ± 0.0000
13_image,datawig,13,0.1190 ± 0.0000
13_image,datawig,14,0.2143 ± 0.0000
13_image,datawig,15,0.1190 ± 0.0000
13_image,datawig,16,0.1667 ± 0.0000
13_image,datawig,17,0.1190 ± 0.0000
13_image,datawig,18,0.1429 ± 0.0000
13_image,datawig,19,0.1667 ± 0.0000
13_image,datawig,20,0.2143 ± 0.0000
13_image,datawig,21,0.1667 ± 0.0000
13_image,datawig,22,0.1190 ± 0.0000
13_image,datawig,23,0.3095 ± 0.0000
13_image,datawig,24,0.0952 ± 0.0000
13_image,datawig,25,0.1667 ± 0.0000
13_image,datawig,26,0.1429 ± 0.0000
13_image,datawig,27,0.1190 ± 0.0000
13_image,datawig,28,0.2143 ± 0.0000
13_image,datawig,29,0.1190 ± 0.0000
13_image,datawig,30,0.1190 ± 0.0000
13_image,dynamic,1,0.1905 ± 0.0000
13_image,dynamic,2,0.1667 ± 0.0000
13_image,dynamic,3,0.3571 ± 0.0000
13_image,dynamic,4,0.1667 ± 0.0000
13_image,dynamic,5,0.1429 ± 0.0000
13_image,dynamic,6,0.1667 ± 0.0000
13_image,dynamic,7,0.1905 ± 0.0000
13_image,dynamic,8,0.1190 ± 0.0000
13_image,dynamic,9,0.1429 ± 0.0000
13_image,dynamic,10,0.1905 ± 0.0000
13_image,dynamic,11,0.2143 ± 0.0000
13_image,dynamic,12,0.2619 ± 0.0000
13_image,dynamic,13,0.1905 ± 0.0000
13_image,dynamic,14,0.0714 ± 0.0000
13_image,dynamic,15,0.2619 ± 0.0000
13_image,dynamic,16,0.1429 ± 0.0000
13_image,dynamic,17,0.1905 ± 0.0000
13_image,dynamic,18,0.1190 ± 0.0000
13_image,dynamic,19,0.2381 ± 0.0000
13_image,dynamic,20,0.0952 ± 0.0000
13_image,dynamic,21,0.1190 ± 0.0000
13_image,dynamic,22,0.2143 ± 0.0000
13_image,dynamic,23,0.0952 ± 0.0000
13_image,dynamic,24,0.1190 ± 0.0000
13_image,dynamic,25,0.1667 ± 0.0000
13_image,dynamic,26,0.0952 ± 0.0000
13_image,dynamic,27,0.1429 ± 0.0000
13_image,dynamic,28,0.0714 ± 0.0000
13_image,dynamic,29,0.0714 ± 0.0000
13_image,dynamic,30,0.0952 ± 0.0000
