Dataset,method,Experiment,Accuracy
16_rice,knn,4,0.5879 ± 0.0000
16_rice,knn,5,0.5787 ± 0.0000
16_rice,knn,6,0.5774 ± 0.0000
16_rice,knn,7,0.5774 ± 0.0000
16_rice,knn,8,0.5459 ± 0.0000
16_rice,knn,9,0.5682 ± 0.0000
16_rice,knn,10,0.5420 ± 0.0000
16_rice,zero,1,0.5604 ± 0.0000
16_rice,zero,2,0.5472 ± 0.0000
16_rice,zero,3,0.5682 ± 0.0000
16_rice,zero,4,0.5892 ± 0.0000
16_rice,zero,5,0.5787 ± 0.0000
16_rice,zero,6,0.5801 ± 0.0000
16_rice,zero,7,0.5814 ± 0.0000
16_rice,zero,8,0.5420 ± 0.0000
16_rice,zero,9,0.5682 ± 0.0000
16_rice,zero,10,0.5407 ± 0.0000
