Dataset,method,Experiment,Accuracy
17_bank,5_knn+datawig,1,0.8779 ± 0.0028
17_bank,5_knn+datawig,2,0.8765 ± 0.0025
17_bank,5_knn+datawig,3,0.8832 ± 0.0098
17_bank,5_knn+datawig,4,0.8841 ± 0.0090
17_bank,5_knn+datawig,5,0.8863 ± 0.0093
17_bank,5_knn+datawig,6,0.8862 ± 0.0085
17_bank,5_knn+datawig,7,0.8837 ± 0.0100
17_bank,5_knn+datawig,8,0.8836 ± 0.0093
17_bank,5_knn+datawig,9,0.8826 ± 0.0093
17_bank,5_knn+datawig,10,0.8804 ± 0.0111
17_bank,5_knn+datawig,11,0.8800 ± 0.0106
17_bank,5_knn+datawig,12,0.8812 ± 0.0109
17_bank,5_knn+datawig,13,0.8806 ± 0.0106
17_bank,5_knn+datawig,14,0.8813 ± 0.0107
17_bank,5_knn+datawig,15,0.8811 ± 0.0104
17_bank,5_knn+datawig,16,0.8809 ± 0.0101
17_bank,5_knn+datawig,17,0.8808 ± 0.0098
17_bank,5_knn+datawig,18,0.8810 ± 0.0096
17_bank,5_knn+datawig,19,0.8806 ± 0.0095
17_bank,5_knn+datawig,20,0.8812 ± 0.0096
17_bank,5_knn+datawig,21,0.8815 ± 0.0096
17_bank,5_knn+datawig,22,0.8808 ± 0.0099
17_bank,5_knn+datawig,23,0.8816 ± 0.0106
17_bank,5_knn+datawig,24,0.8823 ± 0.0108
17_bank,5_knn+datawig,25,0.8813 ± 0.0117
17_bank,5_knn+datawig,26,0.8809 ± 0.0117
17_bank,5_knn+datawig,27,0.8808 ± 0.0115
17_bank,5_knn+datawig,28,0.8813 ± 0.0116
17_bank,5_knn+datawig,29,0.8810 ± 0.0115
17_bank,5_knn+datawig,30,0.8813 ± 0.0114
17_bank,6_dynamic + datawig,1,0.8735 ± 0.0028
17_bank,6_dynamic + datawig,2,0.8702 ± 0.0058
17_bank,6_dynamic + datawig,3,0.8779 ± 0.0124
17_bank,6_dynamic + datawig,4,0.8789 ± 0.0115
17_bank,6_dynamic + datawig,5,0.8790 ± 0.0115
17_bank,6_dynamic + datawig,6,0.8786 ± 0.0113
17_bank,6_dynamic + datawig,7,0.8766 ± 0.0119
17_bank,6_dynamic + datawig,8,0.8763 ± 0.0118
17_bank,6_dynamic + datawig,9,0.8745 ± 0.0133
17_bank,6_dynamic + datawig,10,0.8724 ± 0.0148
17_bank,6_dynamic + datawig,11,0.8725 ± 0.0142
17_bank,6_dynamic + datawig,12,0.8734 ± 0.0143
17_bank,6_dynamic + datawig,13,0.8728 ± 0.0142
17_bank,6_dynamic + datawig,14,0.8729 ± 0.0141
17_bank,6_dynamic + datawig,15,0.8728 ± 0.0137
17_bank,6_dynamic + datawig,16,0.8728 ± 0.0133
17_bank,6_dynamic + datawig,17,0.8725 ± 0.0131
17_bank,6_dynamic + datawig,18,0.8730 ± 0.0130
17_bank,6_dynamic + datawig,19,0.8731 ± 0.0127
17_bank,6_dynamic + datawig,20,0.8735 ± 0.0129
17_bank,6_dynamic + datawig,21,0.8741 ± 0.0132
17_bank,6_dynamic + datawig,22,0.8738 ± 0.0132
17_bank,6_dynamic + datawig,23,0.8747 ± 0.0136
17_bank,6_dynamic + datawig,24,0.8751 ± 0.0138
17_bank,6_dynamic + datawig,25,0.8742 ± 0.0142
17_bank,6_dynamic + datawig,26,0.8739 ± 0.0142
17_bank,6_dynamic + datawig,27,0.8742 ± 0.0141
17_bank,6_dynamic + datawig,28,0.8744 ± 0.0140
17_bank,6_dynamic + datawig,29,0.8740 ± 0.0140
17_bank,6_dynamic + datawig,30,0.8745 ± 0.0142
17_bank,7_dynamic + datawig + zero,1,0.8674 ± 0.0077
17_bank,7_dynamic + datawig + zero,2,0.8659 ± 0.0076
17_bank,7_dynamic + datawig + zero,3,0.8713 ± 0.0123
17_bank,7_dynamic + datawig + zero,4,0.8738 ± 0.0119
17_bank,7_dynamic + datawig + zero,5,0.8752 ± 0.0115
17_bank,7_dynamic + datawig + zero,6,0.8750 ± 0.0118
17_bank,7_dynamic + datawig + zero,7,0.8726 ± 0.0129
17_bank,7_dynamic + datawig + zero,8,0.8720 ± 0.0129
17_bank,7_dynamic + datawig + zero,9,0.8708 ± 0.0131
17_bank,7_dynamic + datawig + zero,10,0.8690 ± 0.0140
17_bank,7_dynamic + datawig + zero,11,0.8690 ± 0.0136
17_bank,7_dynamic + datawig + zero,12,0.8703 ± 0.0138
17_bank,7_dynamic + datawig + zero,13,0.8698 ± 0.0136
17_bank,7_dynamic + datawig + zero,14,0.8699 ± 0.0135
17_bank,7_dynamic + datawig + zero,15,0.8697 ± 0.0133
17_bank,7_dynamic + datawig + zero,16,0.8695 ± 0.0131
17_bank,7_dynamic + datawig + zero,17,0.8690 ± 0.0130
17_bank,7_dynamic + datawig + zero,18,0.8689 ± 0.0132
17_bank,7_dynamic + datawig + zero,19,0.8688 ± 0.0132
17_bank,7_dynamic + datawig + zero,20,0.8694 ± 0.0133
17_bank,7_dynamic + datawig + zero,21,0.8703 ± 0.0137
17_bank,7_dynamic + datawig + zero,22,0.8699 ± 0.0137
17_bank,7_dynamic + datawig + zero,23,0.8708 ± 0.0141
17_bank,7_dynamic + datawig + zero,24,0.8714 ± 0.0143
17_bank,7_dynamic + datawig + zero,25,0.8708 ± 0.0144
17_bank,7_dynamic + datawig + zero,26,0.8705 ± 0.0143
17_bank,7_dynamic + datawig + zero,27,0.8709 ± 0.0142
17_bank,7_dynamic + datawig + zero,28,0.8713 ± 0.0143
17_bank,7_dynamic + datawig + zero,29,0.8708 ± 0.0145
17_bank,7_dynamic + datawig + zero,30,0.8712 ± 0.0146
17_bank,8_dynamic + datawig + knn,1,0.8645 ± 0.0099
17_bank,8_dynamic + datawig + knn,2,0.8646 ± 0.0090
17_bank,8_dynamic + datawig + knn,3,0.8718 ± 0.0137
17_bank,8_dynamic + datawig + knn,4,0.8727 ± 0.0131
17_bank,8_dynamic + datawig + knn,5,0.8729 ± 0.0131
17_bank,8_dynamic + datawig + knn,6,0.8738 ± 0.0131
17_bank,8_dynamic + datawig + knn,7,0.8710 ± 0.0146
17_bank,8_dynamic + datawig + knn,8,0.8702 ± 0.0151
17_bank,8_dynamic + datawig + knn,9,0.8686 ± 0.0156
17_bank,8_dynamic + datawig + knn,10,0.8666 ± 0.0166
17_bank,8_dynamic + datawig + knn,11,0.8669 ± 0.0160
17_bank,8_dynamic + datawig + knn,12,0.8684 ± 0.0162
17_bank,8_dynamic + datawig + knn,13,0.8675 ± 0.0164
17_bank,8_dynamic + datawig + knn,14,0.8675 ± 0.0162
17_bank,8_dynamic + datawig + knn,15,0.8676 ± 0.0158
17_bank,8_dynamic + datawig + knn,16,0.8678 ± 0.0154
17_bank,8_dynamic + datawig + knn,17,0.8676 ± 0.0151
17_bank,8_dynamic + datawig + knn,18,0.8677 ± 0.0150
17_bank,8_dynamic + datawig + knn,19,0.8676 ± 0.0148
17_bank,8_dynamic + datawig + knn,20,0.8680 ± 0.0149
17_bank,8_dynamic + datawig + knn,21,0.8687 ± 0.0151
17_bank,8_dynamic + datawig + knn,22,0.8683 ± 0.0152
17_bank,8_dynamic + datawig + knn,23,0.8691 ± 0.0156
17_bank,8_dynamic + datawig + knn,24,0.8697 ± 0.0157
17_bank,8_dynamic + datawig + knn,25,0.8690 ± 0.0157
17_bank,8_dynamic + datawig + knn,26,0.8688 ± 0.0156
17_bank,8_dynamic + datawig + knn,27,0.8689 ± 0.0154
17_bank,8_dynamic + datawig + knn,28,0.8692 ± 0.0154
17_bank,8_dynamic + datawig + knn,29,0.8692 ± 0.0151
17_bank,8_dynamic + datawig + knn,30,0.8695 ± 0.0153
17_bank,9_datawig+zero+knn.py,1,0.8703 ± 0.0028
17_bank,9_datawig+zero+knn.py,2,0.8729 ± 0.0044
17_bank,9_datawig+zero+knn.py,3,0.8804 ± 0.0115
17_bank,9_datawig+zero+knn.py,4,0.8794 ± 0.0104
17_bank,9_datawig+zero+knn.py,5,0.8812 ± 0.0102
17_bank,9_datawig+zero+knn.py,6,0.8820 ± 0.0095
17_bank,9_datawig+zero+knn.py,7,0.8794 ± 0.0111
17_bank,9_datawig+zero+knn.py,8,0.8789 ± 0.0107
17_bank,9_datawig+zero+knn.py,9,0.8783 ± 0.0103
17_bank,9_datawig+zero+knn.py,10,0.8761 ± 0.0122
17_bank,9_datawig+zero+knn.py,11,0.8755 ± 0.0119
17_bank,9_datawig+zero+knn.py,12,0.8767 ± 0.0122
17_bank,9_datawig+zero+knn.py,13,0.8763 ± 0.0120
17_bank,9_datawig+zero+knn.py,14,0.8768 ± 0.0118
17_bank,9_datawig+zero+knn.py,15,0.8766 ± 0.0115
17_bank,9_datawig+zero+knn.py,16,0.8766 ± 0.0111
17_bank,9_datawig+zero+knn.py,17,0.8763 ± 0.0109
17_bank,9_datawig+zero+knn.py,18,0.8768 ± 0.0108
17_bank,9_datawig+zero+knn.py,19,0.8768 ± 0.0105
17_bank,9_datawig+zero+knn.py,20,0.8778 ± 0.0111
17_bank,9_datawig+zero+knn.py,21,0.8787 ± 0.0116
17_bank,9_datawig+zero+knn.py,22,0.8783 ± 0.0115
17_bank,9_datawig+zero+knn.py,23,0.8791 ± 0.0120
17_bank,9_datawig+zero+knn.py,24,0.8797 ± 0.0121
17_bank,9_datawig+zero+knn.py,25,0.8786 ± 0.0130
17_bank,9_datawig+zero+knn.py,26,0.8782 ± 0.0129
17_bank,9_datawig+zero+knn.py,27,0.8784 ± 0.0127
17_bank,9_datawig+zero+knn.py,28,0.8788 ± 0.0127
17_bank,9_datawig+zero+knn.py,29,0.8786 ± 0.0126
17_bank,9_datawig+zero+knn.py,30,0.8790 ± 0.0126
17_bank,10_dynamic+zero+knn,1,0.8560 ± 0.0144
17_bank,10_dynamic+zero+knn,2,0.8571 ± 0.0126
17_bank,10_dynamic+zero+knn,3,0.8608 ± 0.0175
17_bank,10_dynamic+zero+knn,4,0.8635 ± 0.0175
17_bank,10_dynamic+zero+knn,5,0.8645 ± 0.0173
17_bank,10_dynamic+zero+knn,6,0.8648 ± 0.0170
17_bank,10_dynamic+zero+knn,7,0.8635 ± 0.0174
17_bank,10_dynamic+zero+knn,8,0.8645 ± 0.0169
17_bank,10_dynamic+zero+knn,9,0.8646 ± 0.0162
17_bank,10_dynamic+zero+knn,10,0.8636 ± 0.0158
17_bank,10_dynamic+zero+knn,11,0.8634 ± 0.0156
17_bank,10_dynamic+zero+knn,12,0.8648 ± 0.0160
17_bank,10_dynamic+zero+knn,13,0.8640 ± 0.0161
17_bank,10_dynamic+zero+knn,14,0.8640 ± 0.0162
17_bank,10_dynamic+zero+knn,15,0.8643 ± 0.0160
17_bank,10_dynamic+zero+knn,16,0.8645 ± 0.0156
17_bank,10_dynamic+zero+knn,17,0.8648 ± 0.0153
17_bank,10_dynamic+zero+knn,18,0.8648 ± 0.0155
17_bank,10_dynamic+zero+knn,19,0.8648 ± 0.0153
17_bank,10_dynamic+zero+knn,20,0.8648 ± 0.0157
17_bank,10_dynamic+zero+knn,21,0.8656 ± 0.0160
17_bank,10_dynamic+zero+knn,22,0.8652 ± 0.0160
17_bank,10_dynamic+zero+knn,23,0.8660 ± 0.0163
17_bank,10_dynamic+zero+knn,24,0.8667 ± 0.0165
17_bank,10_dynamic+zero+knn,25,0.8655 ± 0.0174
17_bank,10_dynamic+zero+knn,26,0.8651 ± 0.0175
17_bank,10_dynamic+zero+knn,27,0.8653 ± 0.0173
