Dataset,method,Experiment,Accuracy
11_iris,dynamic,8,0.4667 ± 0.0000
11_iris,dynamic,9,0.5667 ± 0.0000
11_iris,dynamic,10,0.6000 ± 0.0000
11_iris,knn,1,0.7333 ± 0.0000
11_iris,knn,2,0.7667 ± 0.0000
11_iris,knn,3,0.6667 ± 0.0000
11_iris,knn,4,0.7333 ± 0.0000
11_iris,knn,5,0.7667 ± 0.0000
11_iris,knn,6,0.6000 ± 0.0000
11_iris,knn,7,0.6333 ± 0.0000
11_iris,knn,8,0.6333 ± 0.0000
11_iris,knn,9,0.6000 ± 0.0000
11_iris,knn,10,0.7667 ± 0.0000
11_iris,zero,1,0.7000 ± 0.0000
11_iris,zero,2,0.7333 ± 0.0000
11_iris,zero,3,0.6667 ± 0.0000
11_iris,zero,4,0.7000 ± 0.0000
11_iris,zero,5,0.7333 ± 0.0000
11_iris,zero,6,0.5333 ± 0.0000
11_iris,zero,7,0.6333 ± 0.0000
11_iris,zero,8,0.6333 ± 0.0000
11_iris,zero,9,0.5667 ± 0.0000
11_iris,zero,10,0.7333 ± 0.0000
