Dataset,method,Experiment,Accuracy
10_lympho,dynamic,8,0.4333 ± 0.0000
10_lympho,dynamic,9,0.3667 ± 0.0000
10_lympho,dynamic,10,0.4667 ± 0.0000
10_lympho,knn,1,0.0000 ± 0.0000
10_lympho,knn,2,0.0000 ± 0.0000
10_lympho,knn,3,0.0333 ± 0.0000
10_lympho,knn,4,0.0000 ± 0.0000
10_lympho,knn,5,0.0000 ± 0.0000
10_lympho,knn,6,0.0000 ± 0.0000
10_lympho,knn,7,0.0000 ± 0.0000
10_lympho,knn,8,0.0667 ± 0.0000
10_lympho,knn,9,0.0000 ± 0.0000
10_lympho,knn,10,0.0000 ± 0.0000
10_lympho,zero,1,0.0000 ± 0.0000
10_lympho,zero,2,0.0000 ± 0.0000
10_lympho,zero,3,0.0333 ± 0.0000
10_lympho,zero,4,0.0000 ± 0.0000
10_lympho,zero,5,0.0000 ± 0.0000
10_lympho,zero,6,0.0000 ± 0.0000
10_lympho,zero,7,0.0000 ± 0.0000
10_lympho,zero,8,0.0667 ± 0.0000
10_lympho,zero,9,0.0000 ± 0.0000
10_lympho,zero,10,0.0000 ± 0.0000
