Dataset,method,Experiment,Accuracy
20_obesity,6_dynamic + datawig,8,0.8738 ± 0.0181
20_obesity,6_dynamic + datawig,9,0.8727 ± 0.0177
20_obesity,6_dynamic + datawig,10,0.8727 ± 0.0183
20_obesity,6_dynamic + datawig,11,0.8745 ± 0.0190
20_obesity,6_dynamic + datawig,12,0.8740 ± 0.0188
20_obesity,6_dynamic + datawig,13,0.8739 ± 0.0190
20_obesity,6_dynamic + datawig,14,0.8731 ± 0.0186
20_obesity,6_dynamic + datawig,15,0.8730 ± 0.0183
20_obesity,6_dynamic + datawig,16,0.8732 ± 0.0178
20_obesity,6_dynamic + datawig,17,0.8740 ± 0.0177
20_obesity,6_dynamic + datawig,18,0.8741 ± 0.0177
20_obesity,6_dynamic + datawig,19,0.8747 ± 0.0175
20_obesity,6_dynamic + datawig,20,0.8748 ± 0.0172
20_obesity,6_dynamic + datawig,21,0.8746 ± 0.0172
20_obesity,6_dynamic + datawig,22,0.8750 ± 0.0169
20_obesity,6_dynamic + datawig,23,0.8755 ± 0.0167
20_obesity,6_dynamic + datawig,24,0.8748 ± 0.0169
20_obesity,6_dynamic + datawig,25,0.8752 ± 0.0170
20_obesity,6_dynamic + datawig,26,0.8750 ± 0.0168
20_obesity,6_dynamic + datawig,27,0.8758 ± 0.0174
20_obesity,6_dynamic + datawig,28,0.8753 ± 0.0175
20_obesity,6_dynamic + datawig,29,0.8753 ± 0.0173
20_obesity,6_dynamic + datawig,30,0.8759 ± 0.0175
20_obesity,7_dynamic + datawig + zero,1,0.8716 ± 0.0073
20_obesity,7_dynamic + datawig + zero,2,0.8846 ± 0.0144
20_obesity,7_dynamic + datawig + zero,3,0.8865 ± 0.0187
20_obesity,7_dynamic + datawig + zero,4,0.8861 ± 0.0177
20_obesity,7_dynamic + datawig + zero,5,0.8848 ± 0.0169
20_obesity,7_dynamic + datawig + zero,6,0.8809 ± 0.0190
20_obesity,7_dynamic + datawig + zero,7,0.8798 ± 0.0181
20_obesity,7_dynamic + datawig + zero,8,0.8810 ± 0.0202
20_obesity,7_dynamic + datawig + zero,9,0.8812 ± 0.0202
20_obesity,7_dynamic + datawig + zero,10,0.8807 ± 0.0202
20_obesity,7_dynamic + datawig + zero,11,0.8823 ± 0.0204
20_obesity,7_dynamic + datawig + zero,12,0.8817 ± 0.0201
20_obesity,7_dynamic + datawig + zero,13,0.8816 ± 0.0200
20_obesity,7_dynamic + datawig + zero,14,0.8801 ± 0.0201
20_obesity,7_dynamic + datawig + zero,15,0.8797 ± 0.0197
20_obesity,7_dynamic + datawig + zero,16,0.8797 ± 0.0191
20_obesity,7_dynamic + datawig + zero,17,0.8802 ± 0.0187
20_obesity,7_dynamic + datawig + zero,18,0.8800 ± 0.0184
20_obesity,7_dynamic + datawig + zero,19,0.8810 ± 0.0188
20_obesity,7_dynamic + datawig + zero,20,0.8808 ± 0.0184
20_obesity,7_dynamic + datawig + zero,21,0.8808 ± 0.0185
20_obesity,7_dynamic + datawig + zero,22,0.8812 ± 0.0182
20_obesity,7_dynamic + datawig + zero,23,0.8816 ± 0.0180
20_obesity,7_dynamic + datawig + zero,24,0.8811 ± 0.0181
20_obesity,7_dynamic + datawig + zero,25,0.8816 ± 0.0182
20_obesity,7_dynamic + datawig + zero,26,0.8816 ± 0.0179
20_obesity,7_dynamic + datawig + zero,27,0.8825 ± 0.0185
20_obesity,7_dynamic + datawig + zero,28,0.8817 ± 0.0188
20_obesity,7_dynamic + datawig + zero,29,0.8818 ± 0.0185
20_obesity,7_dynamic + datawig + zero,30,0.8818 ± 0.0183
20_obesity,knn,1,0.2364 ± 0.0000
20_obesity,knn,2,0.2033 ± 0.0000
20_obesity,knn,3,0.2128 ± 0.0000
20_obesity,knn,4,0.2199 ± 0.0000
20_obesity,knn,5,0.2270 ± 0.0000
20_obesity,knn,6,0.2364 ± 0.0000
20_obesity,knn,7,0.2364 ± 0.0000
20_obesity,knn,8,0.2506 ± 0.0000
20_obesity,knn,9,0.2388 ± 0.0000
20_obesity,knn,10,0.1820 ± 0.0000
20_obesity,knn,11,0.2151 ± 0.0000
20_obesity,knn,12,0.2270 ± 0.0000
20_obesity,knn,13,0.2340 ± 0.0000
20_obesity,knn,14,0.2246 ± 0.0000
20_obesity,knn,15,0.2530 ± 0.0000
20_obesity,knn,16,0.1868 ± 0.0000
20_obesity,knn,17,0.2104 ± 0.0000
20_obesity,knn,18,0.2246 ± 0.0000
20_obesity,knn,19,0.2222 ± 0.0000
20_obesity,knn,20,0.2388 ± 0.0000
20_obesity,knn,21,0.2293 ± 0.0000
20_obesity,knn,22,0.1986 ± 0.0000
20_obesity,knn,23,0.2151 ± 0.0000
20_obesity,knn,24,0.2033 ± 0.0000
20_obesity,knn,25,0.2033 ± 0.0000
20_obesity,knn,26,0.2151 ± 0.0000
20_obesity,knn,27,0.2199 ± 0.0000
20_obesity,knn,28,0.2270 ± 0.0000
20_obesity,knn,29,0.1939 ± 0.0000
20_obesity,knn,30,0.2033 ± 0.0000
20_obesity,zero,1,0.1348 ± 0.0000
20_obesity,zero,2,0.1064 ± 0.0000
20_obesity,zero,3,0.1442 ± 0.0000
20_obesity,zero,4,0.1348 ± 0.0000
20_obesity,zero,5,0.1371 ± 0.0000
20_obesity,zero,6,0.1608 ± 0.0000
20_obesity,zero,7,0.1395 ± 0.0000
20_obesity,zero,8,0.1513 ± 0.0000
20_obesity,zero,9,0.1442 ± 0.0000
