Dataset,method,Experiment,Accuracy
22_seeds,dynamic,22,0.4762 ± 0.0000
22_seeds,dynamic,23,0.4762 ± 0.0000
22_seeds,dynamic,24,0.5000 ± 0.0000
22_seeds,dynamic,25,0.4286 ± 0.0000
22_seeds,dynamic,26,0.5238 ± 0.0000
22_seeds,dynamic,27,0.5238 ± 0.0000
22_seeds,dynamic,28,0.5476 ± 0.0000
22_seeds,dynamic,29,0.5000 ± 0.0000
22_seeds,dynamic,30,0.4048 ± 0.0000
22_seeds,knn,1,0.3095 ± 0.0000
22_seeds,knn,2,0.4762 ± 0.0000
22_seeds,knn,3,0.4524 ± 0.0000
22_seeds,knn,4,0.3571 ± 0.0000
22_seeds,knn,5,0.2857 ± 0.0000
22_seeds,knn,6,0.3095 ± 0.0000
22_seeds,knn,7,0.3810 ± 0.0000
22_seeds,knn,8,0.2381 ± 0.0000
22_seeds,knn,9,0.2857 ± 0.0000
22_seeds,knn,10,0.4286 ± 0.0000
22_seeds,knn,11,0.3810 ± 0.0000
22_seeds,knn,12,0.4762 ± 0.0000
22_seeds,knn,13,0.2857 ± 0.0000
22_seeds,knn,14,0.1905 ± 0.0000
22_seeds,knn,15,0.3571 ± 0.0000
22_seeds,knn,16,0.3095 ± 0.0000
22_seeds,knn,17,0.3571 ± 0.0000
22_seeds,knn,18,0.2619 ± 0.0000
22_seeds,knn,19,0.3810 ± 0.0000
22_seeds,knn,20,0.3095 ± 0.0000
22_seeds,knn,21,0.2619 ± 0.0000
22_seeds,knn,22,0.3333 ± 0.0000
22_seeds,knn,23,0.2857 ± 0.0000
22_seeds,knn,24,0.3571 ± 0.0000
22_seeds,knn,25,0.2619 ± 0.0000
22_seeds,knn,26,0.3333 ± 0.0000
22_seeds,knn,27,0.3810 ± 0.0000
22_seeds,knn,28,0.2619 ± 0.0000
22_seeds,knn,29,0.2857 ± 0.0000
22_seeds,knn,30,0.2143 ± 0.0000
22_seeds,zero,1,0.3095 ± 0.0000
22_seeds,zero,2,0.4762 ± 0.0000
22_seeds,zero,3,0.4524 ± 0.0000
22_seeds,zero,4,0.3571 ± 0.0000
22_seeds,zero,5,0.2857 ± 0.0000
22_seeds,zero,6,0.3095 ± 0.0000
22_seeds,zero,7,0.3810 ± 0.0000
22_seeds,zero,8,0.2381 ± 0.0000
22_seeds,zero,9,0.2857 ± 0.0000
22_seeds,zero,10,0.4286 ± 0.0000
22_seeds,zero,11,0.3810 ± 0.0000
22_seeds,zero,12,0.4762 ± 0.0000
22_seeds,zero,13,0.2857 ± 0.0000
22_seeds,zero,14,0.1905 ± 0.0000
22_seeds,zero,15,0.3571 ± 0.0000
22_seeds,zero,16,0.3095 ± 0.0000
22_seeds,zero,17,0.3571 ± 0.0000
22_seeds,zero,18,0.2619 ± 0.0000
22_seeds,zero,19,0.3810 ± 0.0000
22_seeds,zero,20,0.3095 ± 0.0000
22_seeds,zero,21,0.2619 ± 0.0000
22_seeds,zero,22,0.3333 ± 0.0000
22_seeds,zero,23,0.2857 ± 0.0000
22_seeds,zero,24,0.3571 ± 0.0000
22_seeds,zero,25,0.2619 ± 0.0000
22_seeds,zero,26,0.3333 ± 0.0000
22_seeds,zero,27,0.3810 ± 0.0000
22_seeds,zero,28,0.2619 ± 0.0000
22_seeds,zero,29,0.2857 ± 0.0000
22_seeds,zero,30,0.2143 ± 0.0000
