Dataset,method,Experiment,Accuracy,RMSE
9_abalone,datawig,11,0.6292 ± 0.0000,0.4982 ± 0.0401
9_abalone,datawig,12,0.6244 ± 0.0000,0.5002 ± 0.0390
9_abalone,datawig,13,0.6579 ± 0.0000,0.4985 ± 0.0379
9_abalone,datawig,14,0.6388 ± 0.0000,0.4960 ± 0.0376
9_abalone,datawig,15,0.6675 ± 0.0000,0.4989 ± 0.0379
9_abalone,datawig,16,0.6411 ± 0.0000,0.5015 ± 0.0381
9_abalone,datawig,17,0.6316 ± 0.0000,0.4990 ± 0.0383
9_abalone,datawig,18,0.6029 ± 0.0000,0.4979 ± 0.0375
9_abalone,datawig,19,0.6280 ± 0.0000,0.5012 ± 0.0391
9_abalone,datawig,20,0.6519 ± 0.0000,0.4993 ± 0.0390
9_abalone,datawig,21,0.5945 ± 0.0000,0.4994 ± 0.0381
9_abalone,datawig,22,0.6340 ± 0.0000,0.5015 ± 0.0383
9_abalone,datawig,23,0.6136 ± 0.0000,0.5007 ± 0.0376
9_abalone,datawig,24,0.6148 ± 0.0000,0.4979 ± 0.0392
9_abalone,datawig,25,0.6435 ± 0.0000,0.4981 ± 0.0384
9_abalone,datawig,26,0.6005 ± 0.0000,0.4986 ± 0.0378
9_abalone,datawig,27,0.6208 ± 0.0000,0.4975 ± 0.0375
9_abalone,datawig,28,0.6376 ± 0.0000,0.4973 ± 0.0368
9_abalone,datawig,29,0.6352 ± 0.0000,0.5001 ± 0.0393
9_abalone,datawig,30,0.6340 ± 0.0000,0.5005 ± 0.0387
9_abalone,zero,1,0.6483 ± 0.0000,1.5988 ± 0.0000
9_abalone,zero,2,0.6411 ± 0.0000,1.5838 ± 0.0150
9_abalone,zero,3,0.6328 ± 0.0000,1.6043 ± 0.0315
9_abalone,zero,4,0.6447 ± 0.0000,1.5914 ± 0.0353
9_abalone,zero,5,0.6352 ± 0.0000,1.5984 ± 0.0345
9_abalone,zero,6,0.6005 ± 0.0000,1.5922 ± 0.0344
9_abalone,zero,7,0.6208 ± 0.0000,1.5936 ± 0.0320
9_abalone,zero,8,0.6567 ± 0.0000,1.6069 ± 0.0462
9_abalone,zero,9,0.6160 ± 0.0000,1.6206 ± 0.0584
9_abalone,zero,10,0.6364 ± 0.0000,1.6074 ± 0.0682
9_abalone,zero,11,0.6340 ± 0.0000,1.6087 ± 0.0652
9_abalone,zero,12,0.6591 ± 0.0000,1.6104 ± 0.0627
9_abalone,zero,13,0.6352 ± 0.0000,1.6099 ± 0.0602
9_abalone,zero,14,0.6495 ± 0.0000,1.6108 ± 0.0581
9_abalone,zero,15,0.6543 ± 0.0000,1.6100 ± 0.0562
9_abalone,zero,16,0.6304 ± 0.0000,1.6109 ± 0.0546
9_abalone,zero,17,0.6459 ± 0.0000,1.6091 ± 0.0535
9_abalone,zero,18,0.6172 ± 0.0000,1.6127 ± 0.0540
9_abalone,zero,19,0.6292 ± 0.0000,1.6190 ± 0.0589
9_abalone,zero,20,0.6555 ± 0.0000,1.6153 ± 0.0596
9_abalone,zero,21,0.6196 ± 0.0000,1.6170 ± 0.0587
9_abalone,zero,22,0.6364 ± 0.0000,1.6191 ± 0.0581
9_abalone,zero,23,0.6256 ± 0.0000,1.6178 ± 0.0571
9_abalone,zero,24,0.6220 ± 0.0000,1.6180 ± 0.0559
9_abalone,zero,25,0.6555 ± 0.0000,1.6226 ± 0.0594
9_abalone,zero,26,0.5981 ± 0.0000,1.6248 ± 0.0592
9_abalone,zero,27,0.6136 ± 0.0000,1.6254 ± 0.0582
9_abalone,zero,28,0.6639 ± 0.0000,1.6258 ± 0.0572
9_abalone,zero,29,0.6232 ± 0.0000,1.6274 ± 0.0568
9_abalone,zero,30,0.6495 ± 0.0000,1.6282 ± 0.0560
