Dataset,method,Experiment,Accuracy,RMSE
20_obesity,dynamic,21,0.8629 ± 0.0000,23.4336 ± 0.2131
20_obesity,dynamic,22,0.8463 ± 0.0000,23.4395 ± 0.2100
20_obesity,dynamic,23,0.8676 ± 0.0000,23.4425 ± 0.2059
20_obesity,dynamic,24,0.8983 ± 0.0000,23.4345 ± 0.2052
20_obesity,dynamic,25,0.8889 ± 0.0000,23.4418 ± 0.2041
20_obesity,dynamic,26,0.8700 ± 0.0000,23.4603 ± 0.2206
20_obesity,dynamic,27,0.8794 ± 0.0000,23.4706 ± 0.2227
20_obesity,dynamic,28,0.8511 ± 0.0000,23.4391 ± 0.2730
20_obesity,dynamic,29,0.8818 ± 0.0000,23.4394 ± 0.2682
20_obesity,dynamic,30,0.8747 ± 0.0000,23.4453 ± 0.2657
